danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.354,0.925,6,-3.317,1,0.113,0.000154,1.6e-06,0.268,0.511,196.198,191373,4
0.34,0.805,0,-8.323,1,0.049,0.00264,0.0764,0.0482,0.836,131.404,257947,4
0.509,0.843,1,-3.318,0,0.0488,0.000671,0.000803,0.348,0.332,140.055,238400,3
0.461,0.246,0,-13.487,1,0.0298,0.111,0.000374,0.0963,0.178,88.446,302693,4
0.736,0.666,1,-4.929,1,0.0337,0.0593,3.82e-05,0.107,0.224,89.824,226760,4
0.598,0.819,2,-5.852,1,0.0473,0.00448,0.000143,0.508,0.255,111.997,313080,4
0.425,0.789,11,-7.821,1,0.0421,0.196,0.439,0.161,0.522,161.952,219520,4
0.416,0.967,9,-2.289,0,0.109,0.000367,0.0,0.0632,0.431,171.032,192787,4
0.445,0.706,8,-9.803,1,0.0461,0.234,0.000252,0.205,0.768,80.823,266720,4
0.32,0.91,9,-5.321,1,0.114,0.000997,0.0,0.16,0.22,165.943,214373,4
0.628,0.934,11,-6.026,1,0.0527,0.00682,1.11e-05,0.0852,0.491,126.538,265893,4
0.552,0.608,1,-9.786,0,0.0345,0.352,0.0,0.0533,0.637,112.367,162373,4
0.543,0.241,8,-14.59,1,0.0344,0.669,6.27e-05,0.121,0.205,89.078,276000,4
0.495,0.878,6,-3.266,0,0.0361,0.00027,9.02e-05,0.07,0.825,193.947,182120,4
0.516,0.549,6,-13.741,1,0.0373,0.501,0.00572,0.184,0.907,176.941,288733,4
0.476,0.994,11,-3.429,0,0.18,0.000569,0.000149,0.139,0.216,115.103,267613,4
0.49,0.581,5,-6.566,1,0.0388,0.553,0.0177,0.0764,0.318,88.718,205480,4
0.623,0.876,11,-7.788,1,0.066,0.0189,0.0134,0.0728,0.515,124.431,217347,4
0.453,0.751,5,-6.001,1,0.0594,0.165,0.0718,0.175,0.419,170.009,242773,4
0.475,0.95,4,-3.101,0,0.0581,0.0176,1.71e-05,0.0579,0.752,173.999,231987,4
0.64,0.602,9,-7.902,1,0.0299,0.0646,0.0,0.375,0.951,111.87,193893,4
0.551,0.409,9,-8.136,0,0.0276,0.955,0.000224,0.109,0.79,160.875,165467,4
